,Code,Region,Income group,Lending category,HIPC,Data,missing_data,income share bottom quint.,income share bottom quint: year
Bermuda,BMU,..,High income: nonOECD,,,0.0,"share1, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Bhutan,BTN,South Asia,Lower middle income,IDA,,0.0,"axfin_p, axfin_r, social_p, social_r",,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,Blend,HIPC,1.0,,0.522347885402762,2013
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,,1.0,,,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.5739376268059879,2013
Brunei Darussalam,BRN,..,High income: nonOECD,,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv",,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"social_p, social_r",,
Cambodia,KHM,East Asia & Pacific,Low income,IDA,,1.0,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC,1.0,,,
Canada,CAN,..,High income: OECD,,,1.0,,,
Cape Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,,0.0,"axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv, v_s",,
Cayman Islands,CYM,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"social_p, social_r",,
Chad,TCD,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"social_p, social_r",,
Channel Islands,CHI,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s",,
Chile,CHL,..,High income: OECD,IBRD,,0.0,"social_p, social_r",0.5668873459406291,2013
China,CHN,East Asia & Pacific,Upper middle income,IBRD,,0.0,"plgp, social_p, social_r",,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.5796851914532231,2013
Comoros,COM,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC,1.0,,,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.5440744128607179,2013
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC,0.0,,,
Croatia,HRV,..,High income: nonOECD,IBRD,,1.0,,,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Curaçao,CUW,..,High income: nonOECD,,,0.0,,,
Cyprus,CYP,..,High income: nonOECD,,EMU,0.0,"share1, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Czech Republic,CZE,..,High income: OECD,,,1.0,,,
Denmark,DNK,..,High income: OECD,,,1.0,,,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,,0.0,unemp,,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,,0.0,"share1, unemp, axfin_p, axfin_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.531143928694252,2013
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.527077326010177,2013
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD,,1.0,,,
El Salvador,SLV,Latin America & Caribbean,Lower middle income,IBRD,,1.0,,0.497846089733716,2013
Equatorial Guinea,GNQ,..,High income: nonOECD,IBRD,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv",,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Estonia,EST,..,High income: OECD,,EMU,1.0,,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"axfin_p, axfin_r, social_p, social_r",,
Faeroe Islands,FRO,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Fiji,FJI,East Asia & Pacific,Upper middle income,IBRD,,0.0,"axfin_p, axfin_r",,
Finland,FIN,..,High income: OECD,,EMU,1.0,,,
France,FRA,..,High income: OECD,,EMU,1.0,,,
French Polynesia,PYF,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,,1.0,,,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"axfin_p, axfin_r, social_p, social_r",,
Georgia,GEO,Europe & Central Asia,Lower middle income,IBRD,,1.0,,,
Germany,DEU,..,High income: OECD,,EMU,1.0,,,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,HIPC,0.0,"social_p, social_r",,
Greece,GRC,..,High income: OECD,,EMU,1.0,,,
Greenland,GRL,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,,0.0,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Guam,GUM,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Guatemala,GTM,Latin America & Caribbean,Lower middle income,IBRD,,1.0,,0.5723022966208879,2011
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"social_p, social_r",,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"plgp, axfin_p, axfin_r, social_p, social_r, avg_prod_k",,
Guyana,GUY,Latin America & Caribbean,Lower middle income,IDA,HIPC,0.0,"share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Haiti,HTI,Latin America & Caribbean,Low income,IDA,HIPC,0.0,"plgp, avg_prod_k",,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,HIPC,1.0,,0.5765889896952879,2013
"Hong Kong SAR, China",HKG,..,High income: nonOECD,,,0.0,"share1, ophe, social_p, social_r, axhealth, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Hungary,HUN,Europe & Central Asia,Upper middle income,,,1.0,,,
Iceland,ISL,..,High income: OECD,,,0.0,"axfin_p, axfin_r, bashs, axhealth",,
India,IND,South Asia,Lower middle income,IBRD,,0.0,"social_p, social_r",,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,,0.0,"social_p, social_r",,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,,0.0,plgp,,
Ireland,IRL,..,High income: OECD,,EMU,1.0,,,
Isle of Man,IMY,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Israel,ISR,..,High income: OECD,,,0.0,"bashs, social_p, social_r, axhealth",,
Italy,ITA,..,High income: OECD,,EMU,1.0,,,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,,
Japan,JPN,..,High income: OECD,,,0.0,"social_p, social_r",,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,,1.0,,,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Kenya,KEN,Sub-Saharan Africa,Low income,IDA,,1.0,,,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,,0.0,"share1, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
"Korea, Dem. Rep.",PRK,East Asia & Pacific,Low income,,,0.0,"gdp_pc_pp, share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv",,
"Korea, Rep.",KOR,..,High income: OECD,IBRD,,0.0,"share1, social_p, social_r, share1_ref, v, pv",,
Kosovo,KSV,Europe & Central Asia,Lower middle income,IDA,,0.0,"share1, plgp, unemp, bashs, ophe, axhealth, avg_prod_k, share1_ref, v, pv, v_s",,
Kuwait,KWT,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, share1_ref, v, pv",,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,IDA,,1.0,,,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,IDA,,1.0,,,
Latvia,LVA,..,High income: nonOECD,,EMU,1.0,,,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,,0.0,"share1, social_p, social_r, share1_ref, v, pv",,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,,0.0,"social_p, social_r",,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Libya,LBY,Middle East & North Africa,Upper middle income,IBRD,,0.0,"share1, plgp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Liechtenstein,LIE,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv",,
Lithuania,LTU,..,High income: nonOECD,,,1.0,,,
Luxembourg,LUX,..,High income: OECD,,EMU,0.0,"share1, plgp, share1_ref, v, pv",,
"Macao SAR, China",MAC,..,High income: nonOECD,,,0.0,"share1, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Malawi,MWI,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD,,1.0,,,
Maldives,MDV,South Asia,Upper middle income,IDA,,0.0,"axfin_p, axfin_r, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
Mali,MLI,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Malta,MLT,..,High income: nonOECD,,EMU,0.0,"share1, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA,HIPC,0.0,"social_p, social_r",,
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD,,0.0,"faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.547364087533785,2012
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,IDA,,0.0,"plgp, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
Moldova,MDA,Europe & Central Asia,Lower middle income,Blend,,1.0,,,
Monaco,MCO,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Mongolia,MNG,East Asia & Pacific,Lower middle income,Blend,,1.0,,,
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,,0.0,"social_p, social_r",,
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"axfin_p, axfin_r",,
Myanmar,MMR,East Asia & Pacific,Low income,IDA,,0.0,"gdp_pc_pp, share1, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD,,0.0,"axfin_p, axfin_r, social_p, social_r",,
Nepal,NPL,South Asia,Low income,IDA,,1.0,,,
Netherlands,NLD,..,High income: OECD,,EMU,1.0,,,
New Caledonia,NCL,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
New Zealand,NZL,..,High income: OECD,,,0.0,"share1, plgp, social_p, social_r, share1_ref, v, pv",,
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA,HIPC,0.0,avg_prod_k,0.5107121738377329,2009
Niger,NER,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend,,1.0,,,
Northern Mariana Islands,MNP,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Norway,NOR,..,High income: OECD,,,0.0,"axfin_p, axfin_r, bashs, axhealth",,
Oman,OMN,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, share1_ref, v, pv",,
Pakistan,PAK,South Asia,Lower middle income,Blend,,1.0,,,
Palau,PLW,East Asia & Pacific,Upper middle income,IBRD,,0.0,"share1, plgp, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Panama,PAN,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.562323706751689,2013
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,,0.0,"share1, plgp, axfin_p, axfin_r, avg_prod_k, share1_ref, v, pv",,
Paraguay,PRY,Latin America & Caribbean,Lower middle income,IBRD,,1.0,,0.532491395565516,2013
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD,,1.0,,0.497227392713323,2013
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD,,1.0,,,
Poland,POL,..,High income: OECD,IBRD,,1.0,,,
Portugal,PRT,..,High income: OECD,,EMU,0.0,"share1, plgp, share1_ref, v, pv",,
Puerto Rico,PRI,..,High income: nonOECD,,,0.0,"share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Qatar,QAT,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Romania,ROU,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Russian Federation,RUS,..,High income: nonOECD,IBRD,,0.0,"social_p, social_r",,
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Samoa,WSM,East Asia & Pacific,Lower middle income,IDA,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
San Marino,SMR,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Saudi Arabia,SAU,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, share1_ref, v, pv",,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC,1.0,,,
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Seychelles,SYC,Sub-Saharan Africa,Upper middle income,IBRD,,0.0,"unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Singapore,SGP,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Sint Maarten (Dutch part),SXM,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Slovak Republic,SVK,..,High income: OECD,,EMU,1.0,,,
Slovenia,SVN,..,High income: OECD,,EMU,1.0,,,
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA,,0.0,"share1, axfin_p, axfin_r, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Somalia,SOM,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,"gdp_pc_pp, share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv",,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD,,1.0,,,
South Sudan,SSD,Sub-Saharan Africa,Lower middle income,IDA,,0.0,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
Spain,ESP,..,High income: OECD,,EMU,1.0,,,
Sri Lanka,LKA,South Asia,Lower middle income,Blend,,1.0,,,
St. Kitts and Nevis,KNA,..,High income: nonOECD,IBRD,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
St. Martin (French part),MAF,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Sudan,SDN,Sub-Saharan Africa,Lower middle income,IDA,HIPC,0.0,"social_p, social_r",,
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD,,0.0,"share1, axfin_p, axfin_r, social_p, social_r, share1_ref, v, pv",,
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,IBRD,,0.0,"social_p, social_r",,
